posting_date,amount,account,account_name,cost_center,profit_center,vendor,customer,document_no,text
2024-05-23,-35496.38,5000,Material Reagenzien,CC100,PC-CONSULT,Abbott,,BK100184,Nachbestellung Assays
2024-05-23,-11435.46,6400,Reisekosten,CC200,PC-CONSULT,Deutsche Bahn,,BK100320,Kundenbesuch
2024-05-24,-9355.0,5010,Material Verbrauchsmittel,CC200,PC-ADMIN,Fisher Scientific,,BK100242,Handschuhe Nachbestellung
2024-05-25,26007.2,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Uniklinik Köln,RE100051,Laboranalysen Mai
2024-05-25,31328.73,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,MVZ Labor Bremen,RE100129,Diagnostik Auftrag 100129
2024-05-25,6829.87,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Praxis Dr. Weber,RE100148,Laboranalysen Mai
2024-05-25,-2460.82,5020,Fremdleistungen Labor,CC300,PC-ADMIN,Synlab,,BK100251,Auftragsanalyse
2024-05-25,-16610.25,6700,Marketing,CC200,PC-TRAIN,Google Ads,,BK100353,Messebeteiligung
2024-05-25,-15055.16,6900,Sonstige Aufwendungen,CC300,PC-DIAG,Diverse,,BK100369,Bürobedarf
2024-05-26,13968.59,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Praxis Dr. Weber,RE100153,Diagnostik Auftrag 100153
2024-05-26,-36537.26,5000,Material Reagenzien,CC200,PC-TRAIN,Abbott,,BK100168,Reagenzien Mai
2024-05-26,-27866.27,5000,Material Reagenzien,CC500,PC-ADMIN,Siemens Healthineers,,BK100205,Nachbestellung Assays
2024-05-27,22830.74,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Universitätsklinikum München,RE100021,Laboranalysen Mai
2024-05-27,20995.74,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Uniklinik Köln,RE100022,Laboranalysen Mai
2024-05-27,25486.14,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,Universitätsklinikum München,RE100113,Laboranalysen Mai
2024-05-27,3017.52,4100,Sonstige Erlöse,CC300,PC-DIAG,,Labor Gemeinschaft Bayern,RE100121,Diagnostik Auftrag 100121
2024-05-27,-16483.08,5000,Material Reagenzien,CC400,PC-DIAG,Roche Diagnostics,,BK100204,Chemikalien Q2
2024-05-27,-11923.11,5020,Fremdleistungen Labor,CC100,PC-ADMIN,Synlab,,BK100261,Externe Laborleistung
2024-05-27,-7557.56,6300,IT-Kosten,CC100,PC-TRAIN,SAP Deutschland,,BK100299,Microsoft 365
2024-05-27,-4339.99,6300,IT-Kosten,CC400,PC-CONSULT,SAP Deutschland,,BK100307,Microsoft 365
2024-05-28,9064.91,4020,Umsatzerlöse Schulungen,CC100,PC-DIAG,,Krankenhaus Nordwest,RE100047,Beratungsleistung
2024-05-28,18758.58,4010,Umsatzerlöse Beratung,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100055,Rahmenvertrag Abrechnung
2024-05-28,5832.19,4100,Sonstige Erlöse,CC200,PC-DIAG,,Krankenhaus Nordwest,RE100145,Schulung Laborpersonal
2024-05-28,-21064.69,5000,Material Reagenzien,CC400,PC-DIAG,Roche Diagnostics,,BK100172,Chemikalien Q2
2024-05-28,-27438.63,5000,Material Reagenzien,CC100,PC-CONSULT,Roche Diagnostics,,BK100183,Nachbestellung Assays
2024-05-28,-9932.57,5010,Material Verbrauchsmittel,CC300,PC-TRAIN,Merck,,BK100234,Handschuhe Nachbestellung
2024-05-28,-10886.49,6500,Beratungskosten,CC200,PC-ADMIN,McKinsey,,BK100323,Gutachten
2024-05-28,-9244.28,6900,Sonstige Aufwendungen,CC100,PC-DIAG,Diverse,,BK100364,Bürobedarf
2024-06-01,-7784.78,5010,Material Verbrauchsmittel,CC200,PC-DIAG,VWR International,,BK100235,Handschuhe Nachbestellung
2024-06-02,25553.89,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100083,Diagnostik Auftrag 100083
2024-06-02,78238.26,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Universitätsklinikum München,RE100150,Projektabrechnung Q2
2024-06-02,-28458.6,5000,Material Reagenzien,CC400,PC-TRAIN,Abbott,,BK100179,Reagenzien Juni
2024-06-02,-31958.75,5000,Material Reagenzien,CC400,PC-ADMIN,Abbott,,BK100188,Chemikalien Q2
2024-06-02,-22448.78,5000,Material Reagenzien,CC300,PC-ADMIN,Beckman Coulter,,BK100194,Reagenzien Juni
2024-06-02,-12496.8,5020,Fremdleistungen Labor,CC300,PC-TRAIN,Sonic Healthcare,,BK100250,Externe Laborleistung
2024-06-03,-2249.21,5020,Fremdleistungen Labor,CC400,PC-ADMIN,Bioscientia,,BK100260,Auftragsanalyse
2024-06-03,-7580.91,6300,IT-Kosten,CC300,PC-ADMIN,Microsoft,,BK100300,Serverkosten Juni
2024-06-04,62135.52,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100030,Diagnostik Auftrag 100030
2024-06-04,15203.75,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100053,Laboranalysen Juni
2024-06-04,3333.16,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Krankenhaus Nordwest,RE100120,Rahmenvertrag Abrechnung
2024-06-04,-13135.52,6400,Reisekosten,CC500,PC-CONSULT,Deutsche Bahn,,BK100318,Kongress Teilnahme
2024-06-05,5880.46,4100,Sonstige Erlöse,CC100,PC-CONSULT,,Krankenhaus Nordwest,RE100061,Rahmenvertrag Abrechnung
2024-06-05,14244.06,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Charité Berlin,RE100074,Schulung Laborpersonal
2024-06-05,-43308.89,5000,Material Reagenzien,CC300,PC-DIAG,Beckman Coulter,,BK100206,Reagenzien Juni
2024-06-05,-5578.41,6800,Fortbildung,CC300,PC-ADMIN,Springer Verlag,,BK100360,Fachkongress
2024-06-06,-16777.29,5010,Material Verbrauchsmittel,CC400,PC-CONSULT,Merck,,BK100237,Handschuhe Nachbestellung
2024-06-07,15353.4,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100046,Rahmenvertrag Abrechnung
2024-06-07,41963.68,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Krankenhaus Nordwest,RE100058,Diagnostik Auftrag 100058
2024-06-07,-11282.88,6200,Wartung Geräte,CC400,PC-TRAIN,Roche Diagnostics,,BK100297,Inspektion Automat
2024-06-08,80911.73,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,Universitätsklinikum München,RE100039,Projektabrechnung Q2
2024-06-08,5244.22,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100107,Schulung Laborpersonal
2024-06-08,-3305.89,5020,Fremdleistungen Labor,CC200,PC-ADMIN,Synlab,,BK100258,Fremdanalyse Spezialtest
2024-06-08,-1997.33,6300,IT-Kosten,CC400,PC-DIAG,Microsoft,,BK100303,Microsoft 365
2024-06-08,-16861.61,6500,Beratungskosten,CC400,PC-ADMIN,McKinsey,,BK100331,Prozessoptimierung
2024-06-08,-11767.22,6900,Sonstige Aufwendungen,CC500,PC-TRAIN,Diverse,,BK100368,Bürobedarf
2024-06-09,27812.47,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100091,Schulung Laborpersonal
2024-06-09,6780.14,4100,Sonstige Erlöse,CC200,PC-DIAG,,Charité Berlin,RE100092,Beratungsleistung
2024-06-09,14269.09,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Universitätsklinikum München,RE100143,Schulung Laborpersonal
2024-06-09,11073.94,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Praxis Dr. Weber,RE100156,Diagnostik Auftrag 100156
2024-06-09,-36940.55,5000,Material Reagenzien,CC200,PC-DIAG,Roche Diagnostics,,BK100167,Reagenzien Juni
2024-06-09,-6468.0,6300,IT-Kosten,CC500,PC-ADMIN,IT-Service Partner,,BK100298,Serverkosten Juni
2024-06-09,-18086.92,6900,Sonstige Aufwendungen,CC300,PC-DIAG,Diverse,,BK100366,Sonstiges Juni
2024-06-10,83200.65,4000,Umsatzerlöse Labordiagnostik,CC300,PC-DIAG,,Labor Gemeinschaft Bayern,RE100103,Diagnostik Auftrag 100103
2024-06-10,25620.89,4000,Umsatzerlöse Labordiagnostik,CC100,PC-DIAG,,Charité Berlin,RE100106,Projektabrechnung Q2
2024-06-10,10140.53,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100114,Rahmenvertrag Abrechnung
2024-06-10,21456.14,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100127,Schulung Laborpersonal
2024-06-10,31433.92,4000,Umsatzerlöse Labordiagnostik,CC100,PC-TRAIN,,Charité Berlin,RE100138,Schulung Laborpersonal
2024-06-10,-1325.71,6800,Fortbildung,CC100,PC-DIAG,Springer Verlag,,BK100359,Schulung Mitarbeiter
2024-06-11,5756.63,4100,Sonstige Erlöse,CC100,PC-DIAG,,MVZ Labor Bremen,RE100056,Laboranalysen Juni
2024-06-11,77259.6,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,Universitätsklinikum München,RE100116,Diagnostik Auftrag 100116
2024-06-11,23837.24,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Charité Berlin,RE100134,Projektabrechnung Q2
2024-06-11,-13862.88,5000,Material Reagenzien,CC500,PC-DIAG,Siemens Healthineers,,BK100198,Reagenzien Juni
2024-06-11,-12647.59,6200,Wartung Geräte,CC200,PC-CONSULT,Siemens Healthineers,,BK100285,Große Revision Cobas
2024-06-11,-16024.59,6300,IT-Kosten,CC200,PC-CONSULT,IT-Service Partner,,BK100312,Serverkosten Juni
2024-06-11,-14229.86,6600,Versicherungen,CC300,PC-ADMIN,AXA,,BK100340,Betriebshaftpflicht Q2
2024-06-12,31604.4,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,MVZ Labor Bremen,RE100146,Diagnostik Auftrag 100146
2024-06-12,11568.31,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100152,Laboranalysen Juni
2024-06-12,-2285.91,5010,Material Verbrauchsmittel,CC500,PC-DIAG,Merck,,BK100233,Verbrauchsmaterial Juni
2024-06-12,-14481.27,5020,Fremdleistungen Labor,CC300,PC-TRAIN,Sonic Healthcare,,BK100256,Auftragsanalyse
2024-06-12,-11110.42,6200,Wartung Geräte,CC500,PC-ADMIN,Siemens Healthineers,,BK100295,Inspektion Automat
2024-06-13,74971.24,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Praxis Dr. Weber,RE100076,Beratungsleistung
2024-06-13,7062.73,4020,Umsatzerlöse Schulungen,CC300,PC-DIAG,,Praxis Dr. Weber,RE100136,Rahmenvertrag Abrechnung
2024-06-13,-33379.96,5000,Material Reagenzien,CC100,PC-ADMIN,Beckman Coulter,,BK100195,Nachbestellung Assays
2024-06-13,-11170.11,5000,Material Reagenzien,CC400,PC-DIAG,Siemens Healthineers,,BK100216,Lieferung Testkits
2024-06-13,-18357.31,5020,Fremdleistungen Labor,CC300,PC-ADMIN,Synlab,,BK100253,Externe Laborleistung
2024-06-13,-16643.85,6500,Beratungskosten,CC300,PC-CONSULT,McKinsey,,BK100332,Prozessoptimierung
2024-06-13,-9205.11,6900,Sonstige Aufwendungen,CC500,PC-TRAIN,Diverse,,BK100372,Sonstiges Juni
2024-06-14,10546.8,4010,Umsatzerlöse Beratung,CC200,PC-CONSULT,,Krankenhaus Nordwest,RE100029,Schulung Laborpersonal
2024-06-14,3459.09,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Praxis Dr. Weber,RE100057,Schulung Laborpersonal
2024-06-14,10311.55,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100096,Rahmenvertrag Abrechnung
2024-06-14,2018.99,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Uniklinik Köln,RE100141,Laboranalysen Juni
2024-06-15,41933.71,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,Universitätsklinikum München,RE100016,Rahmenvertrag Abrechnung
2024-06-15,13172.93,4010,Umsatzerlöse Beratung,CC100,PC-CONSULT,,Uniklinik Köln,RE100031,Beratungsleistung
2024-06-15,-21567.35,5000,Material Reagenzien,CC300,PC-ADMIN,Siemens Healthineers,,BK100189,Reagenzien Juni
2024-06-15,-7679.39,5020,Fremdleistungen Labor,CC300,PC-ADMIN,Synlab,,BK100246,Auftragsanalyse
2024-06-16,3685.98,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Uniklinik Köln,RE100037,Diagnostik Auftrag 100037
2024-06-16,5729.39,4100,Sonstige Erlöse,CC300,PC-DIAG,,Charité Berlin,RE100064,Beratungsleistung
2024-06-16,12189.76,4020,Umsatzerlöse Schulungen,CC300,PC-DIAG,,MVZ Labor Bremen,RE100072,Schulung Laborpersonal
2024-06-16,13171.61,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,MVZ Labor Bremen,RE100101,Diagnostik Auftrag 100101
2024-06-16,-23558.12,5000,Material Reagenzien,CC300,PC-CONSULT,Beckman Coulter,,BK100201,Nachbestellung Assays
2024-06-16,-5812.96,5010,Material Verbrauchsmittel,CC300,PC-TRAIN,Merck,,BK100240,Pipettenspitzen
2024-06-16,-7979.59,5010,Material Verbrauchsmittel,CC100,PC-ADMIN,Merck,,BK100243,Handschuhe Nachbestellung
2024-06-16,-9305.73,6200,Wartung Geräte,CC400,PC-TRAIN,Roche Diagnostics,,BK100294,Service Zentrifuge
2024-06-16,-9854.08,6700,Marketing,CC200,PC-TRAIN,Google Ads,,BK100349,Messebeteiligung
2024-06-17,-13605.32,5000,Material Reagenzien,CC300,PC-CONSULT,Beckman Coulter,,BK100186,Chemikalien Q2
2024-06-17,-12756.15,5000,Material Reagenzien,CC200,PC-CONSULT,Abbott,,BK100199,Nachbestellung Assays
2024-06-17,-21746.43,5000,Material Reagenzien,CC500,PC-CONSULT,Siemens Healthineers,,BK100220,Lieferung Testkits
2024-06-17,-11925.9,5010,Material Verbrauchsmittel,CC300,PC-ADMIN,Merck,,BK100231,Pipettenspitzen
2024-06-17,-7816.65,6200,Wartung Geräte,CC100,PC-CONSULT,TechService GmbH,,BK100284,Wartung Analysegerät
2024-06-17,-5199.81,6600,Versicherungen,CC100,PC-CONSULT,AXA,,BK100338,Geräteversicherung
2024-06-18,8106.05,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100099,Beratungsleistung
2024-06-18,20729.88,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100157,Rahmenvertrag Abrechnung
2024-06-18,-183737.14,6000,Personalkosten Gehälter,CC500,PC-CONSULT,Lohnbüro Müller,,BK100266,Gehälter Juni 2024
2024-06-18,-26061.84,6100,Miete Laborräume,CC400,PC-DIAG,Immobilien AG,,BK100274,Miete Juni 2024
2024-06-19,27530.52,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100028,Schulung Laborpersonal
2024-06-19,44345.74,4000,Umsatzerlöse Labordiagnostik,CC300,PC-CONSULT,,MVZ Labor Bremen,RE100040,Laboranalysen Juni
2024-06-19,32945.6,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Krankenhaus Nordwest,RE100112,Diagnostik Auftrag 100112
2024-06-19,33971.6,4010,Umsatzerlöse Beratung,CC100,PC-TRAIN,,MVZ Labor Bremen,RE100117,Projektabrechnung Q2
2024-06-19,11712.61,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Uniklinik Köln,RE100130,Schulung Laborpersonal
2024-06-20,53642.84,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,Städtisches Klinikum Stuttgart,RE100006,Rahmenvertrag Abrechnung
2024-06-20,19606.98,4010,Umsatzerlöse Beratung,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100063,Schulung Laborpersonal
2024-06-20,1849.98,4100,Sonstige Erlöse,CC100,PC-TRAIN,,Uniklinik Köln,RE100125,Beratungsleistung
2024-06-20,-15678.23,6600,Versicherungen,CC300,PC-CONSULT,AXA,,BK100337,Betriebshaftpflicht Q2
2024-06-21,54287.15,4000,Umsatzerlöse Labordiagnostik,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100002,Laboranalysen Juni
2024-06-21,8194.15,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,Charité Berlin,RE100026,Diagnostik Auftrag 100026
2024-06-21,-28885.84,5000,Material Reagenzien,CC300,PC-CONSULT,Roche Diagnostics,,BK100164,Reagenzien Juni
2024-06-21,-40108.25,5000,Material Reagenzien,CC400,PC-CONSULT,Siemens Healthineers,,BK100175,Chemikalien Q2
2024-06-21,-11902.36,5000,Material Reagenzien,CC400,PC-CONSULT,Siemens Healthineers,,BK100207,Chemikalien Q2
2024-06-21,-18385.97,5000,Material Reagenzien,CC500,PC-ADMIN,Abbott,,BK100209,Reagenzien Juni
2024-06-21,-35302.86,6010,Personalkosten Sozialabgaben,CC300,PC-ADMIN,Lohnbüro Müller,,BK100269,Sozialabgaben Juni 2024
2024-06-22,26094.73,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Uniklinik Köln,RE100009,Projektabrechnung Q2
2024-06-22,-21936.25,5000,Material Reagenzien,CC300,PC-TRAIN,Abbott,,BK100213,Reagenzien Juni
2024-06-22,-9116.81,6600,Versicherungen,CC300,PC-ADMIN,AXA,,BK100339,Betriebshaftpflicht Q2
2024-06-23,29768.8,4000,Umsatzerlöse Labordiagnostik,CC200,PC-DIAG,,Labor Gemeinschaft Bayern,RE100012,Schulung Laborpersonal
2024-06-23,19830.98,4010,Umsatzerlöse Beratung,CC200,PC-TRAIN,,Universitätsklinikum München,RE100044,Rahmenvertrag Abrechnung
2024-06-23,6355.9,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Universitätsklinikum München,RE100095,Projektabrechnung Q2
2024-06-23,7678.98,4100,Sonstige Erlöse,CC200,PC-TRAIN,,Universitätsklinikum München,RE100137,Projektabrechnung Q2
2024-06-24,-15376.9,5010,Material Verbrauchsmittel,CC300,PC-TRAIN,VWR International,,BK100236,Pipettenspitzen
2024-06-24,-3747.38,6200,Wartung Geräte,CC500,PC-TRAIN,TechService GmbH,,BK100293,Service Zentrifuge
2024-06-24,-11884.67,6400,Reisekosten,CC300,PC-CONSULT,Deutsche Bahn,,BK100316,Kundenbesuch
2024-06-24,-16758.72,6600,Versicherungen,CC400,PC-DIAG,Allianz,,BK100344,Geräteversicherung
2024-06-25,62719.73,4000,Umsatzerlöse Labordiagnostik,CC200,PC-TRAIN,,Praxis Dr. Weber,RE100017,Diagnostik Auftrag 100017
2024-06-25,12150.13,4020,Umsatzerlöse Schulungen,CC300,PC-DIAG,,Praxis Dr. Weber,RE100020,Schulung Laborpersonal
2024-06-25,3415.87,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100131,Beratungsleistung
2024-06-25,24764.06,4010,Umsatzerlöse Beratung,CC300,PC-TRAIN,,Uniklinik Köln,RE100149,Rahmenvertrag Abrechnung
2024-06-25,-21917.47,5000,Material Reagenzien,CC500,PC-TRAIN,Roche Diagnostics,,BK100180,Nachbestellung Assays
2024-06-25,-3611.87,6300,IT-Kosten,CC400,PC-ADMIN,IT-Service Partner,,BK100304,SAP Lizenzen Q2
2024-06-25,-12320.47,6400,Reisekosten,CC400,PC-TRAIN,Lufthansa,,BK100321,Kundenbesuch
2024-06-26,8076.09,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Labor Gemeinschaft Bayern,RE100035,Laboranalysen Juni
2024-06-26,13203.52,4020,Umsatzerlöse Schulungen,CC100,PC-TRAIN,,Universitätsklinikum München,RE100088,Beratungsleistung
2024-06-26,11936.46,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,Uniklinik Köln,RE100133,Schulung Laborpersonal
2024-06-26,-41350.07,5000,Material Reagenzien,CC100,PC-DIAG,Abbott,,BK100171,Chemikalien Q2
2024-06-26,-22957.12,5000,Material Reagenzien,CC400,PC-CONSULT,Siemens Healthineers,,BK100218,Nachbestellung Assays
2024-06-26,-15248.06,5020,Fremdleistungen Labor,CC200,PC-ADMIN,Synlab,,BK100248,Fremdanalyse Spezialtest
2024-06-27,2945.82,4100,Sonstige Erlöse,CC200,PC-DIAG,,Praxis Dr. Weber,RE100008,Beratungsleistung
2024-06-27,10051.9,4010,Umsatzerlöse Beratung,CC300,PC-DIAG,,Charité Berlin,RE100087,Rahmenvertrag Abrechnung
2024-06-27,-9116.57,6200,Wartung Geräte,CC400,PC-DIAG,Roche Diagnostics,,BK100287,Inspektion Automat
2024-06-28,7280.46,4100,Sonstige Erlöse,CC200,PC-CONSULT,,MVZ Labor Bremen,RE100071,Laboranalysen Juni
2024-06-28,68225.88,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Uniklinik Köln,RE100139,Rahmenvertrag Abrechnung
2024-06-28,2921.36,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Universitätsklinikum München,RE100147,Projektabrechnung Q2
2024-06-28,-28453.71,6100,Miete Laborräume,CC200,PC-TRAIN,Immobilien AG,,BK100273,Nebenkosten Q2
2024-06-28,-18594.75,6300,IT-Kosten,CC300,PC-DIAG,SAP Deutschland,,BK100308,SAP Lizenzen Q2
2024-06-28,-13135.79,6300,IT-Kosten,CC500,PC-TRAIN,Microsoft,,BK100313,Microsoft 365
2024-06-28,-7607.63,6500,Beratungskosten,CC400,PC-CONSULT,McKinsey,,BK100330,Gutachten
